source_dataset,source_subset,image_path,filename,extension,modality,width,height,mode,readable,sha256_or_fast_hash,patient_or_case_id,image_id,split
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/348.png,348.png,.png,unknown,1924,1556,RGB,True,78c029634835939986520bf63caa3e032b714b1fa3e32a5de2f94df976c624c1,unknown,ext_000000,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/1804.png,1804.png,.png,unknown,1924,1556,RGB,True,00658efde920559f992c61ef9bbaa37909474875b5f1b7213b92352394297fd9,unknown,ext_000001,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/1810.png,1810.png,.png,unknown,1924,1556,RGB,True,57d396d5dee819d15dbeba3d19135aab5fc9c003d6e40b1104f494d13b1afbc0,unknown,ext_000002,ssl_val
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/1186.png,1186.png,.png,unknown,1924,1556,RGB,True,41cddf76541d7124fa0e9d1360b3fe0b433607752649ea1b39706446707efe7f,unknown,ext_000003,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/412.png,412.png,.png,unknown,2576,1934,RGB,True,456d4189fa46f54422e85484b28ef90a6a39d698772f8ab5ade0c08b5f1c04dd,unknown,ext_000004,ssl_val
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/374.png,374.png,.png,unknown,1924,1556,RGB,True,027e640ec70716b170eac5e3c903915c28b65d809021d4072adaf440f47ea35f,unknown,ext_000005,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/1838.png,1838.png,.png,unknown,2576,1934,RGB,True,97bf848e4f5794bbb29ccdadfab6df70e8b255773644ed6a160154e99810752d,unknown,ext_000006,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/360.png,360.png,.png,unknown,2576,1934,RGB,True,a6b7457cd06df84776c6338aa09f755a607ac33dbb6f7db7fa324c9170fbb850,unknown,ext_000007,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/406.png,406.png,.png,unknown,1924,1556,RGB,True,1da042008fde3ec3f7cfdbe5fe3229b84e5dd4616a0d3f037cc7c63caba3636a,unknown,ext_000008,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/1192.png,1192.png,.png,unknown,2576,1934,RGB,True,6a9c4ee5ace432a1f725bc629caf0b158e4ca0847e50dbdcd164c72c67aa93b9,unknown,ext_000009,ssl_val
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/1179.png,1179.png,.png,unknown,1924,1556,RGB,True,7bb599272bbde1040fd5469e5bbedd1f0619114fcab1a5baf7acd897a654eb33,unknown,ext_000010,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/2470.png,2470.png,.png,unknown,2576,1934,RGB,True,83aba9540bd4f020440634a14c0c9ff9c515b28fb8614c797d7f88a3b89ee1e2,unknown,ext_000011,ssl_val
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/2316.png,2316.png,.png,unknown,2576,1934,RGB,True,118db0c0f574e878628a0f90f8759d966a145eb790a882d40e918b58129d2069,unknown,ext_000012,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/2302.png,2302.png,.png,unknown,1284,964,RGB,True,a2e7e5c6f4c17c934c421364a63db01c0200d4afc529ee121c6fcb65c6e11e64,unknown,ext_000013,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/2464.png,2464.png,.png,unknown,2576,1934,RGB,True,1189e65e0deed1f535e47510fcfc7431624e4386f1e0717734a38b4b6ac0553d,unknown,ext_000014,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/1145.png,1145.png,.png,unknown,2576,1934,RGB,True,dd0dafa21e241e03fed5a74c6d04f623598adb64ba71bd8765dd9cacb7eb3f0a,unknown,ext_000015,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/1623.png,1623.png,.png,unknown,1924,1556,RGB,True,b58c8636cda60513c401aedb831286b8c491e150e62024398cedd9938cf7b830,unknown,ext_000016,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/1637.png,1637.png,.png,unknown,2576,1934,RGB,True,2f287b5fccb9034277c416a0dddc9765f94ade1427ef586582163f2f247e062e,unknown,ext_000017,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/1151.png,1151.png,.png,unknown,1284,964,RGB,True,3ebccf11a30f04fe93d9081355d63c3b1fdce1fb2cf2b8a5856c3a258840607b,unknown,ext_000018,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/2458.png,2458.png,.png,unknown,1284,964,RGB,True,21038330d08fed4d556e3f079bb1c67f9bd9c6844834824286fd77800b616688,unknown,ext_000019,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/638.png,638.png,.png,unknown,2576,1934,RGB,True,4df5ba5bcd31d941030504f7b1ed2f3acacac8eb18223c61561444c1fef9087c,unknown,ext_000020,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/176.png,176.png,.png,unknown,2576,1934,RGB,True,c7e67e44a0c422c0c0d64151a238c2bae90a4671ccf6f269a20357a3a244b81d,unknown,ext_000021,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/88.png,88.png,.png,unknown,2576,1934,RGB,True,6217d73f007ae34b6b1d4e0dc73aff989c70bec888ba8dabe4fceb28e26c04f9,unknown,ext_000022,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/610.png,610.png,.png,unknown,2576,1934,RGB,True,5a1e9cfe20014c00e40f47ab05752b812b89e1978570e0375965975fcac12581,unknown,ext_000023,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/1384.png,1384.png,.png,unknown,1284,964,RGB,True,e061d125fcad886021e65fbd1c26cec6a261a2a65118cf9dd5c6d71d08fb89f9,unknown,ext_000024,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/1390.png,1390.png,.png,unknown,2576,1934,RGB,True,0c80195fc0458e5f3026f153c35f9d516e21fcf1981839bbb3f12625a764c3ae,unknown,ext_000025,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/604.png,604.png,.png,unknown,2576,1934,RGB,True,16802c1e30c6f8cf19d9b476c28a80b89287576c7ab386cf1130c1918dc0fd2b,unknown,ext_000026,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/162.png,162.png,.png,unknown,1284,964,RGB,True,19d8ba2e19304278bc7c61d16a4263d591e5d0eb2df1a3a658c58831707b5a24,unknown,ext_000027,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/189.png,189.png,.png,unknown,2576,1934,RGB,True,0148e63a725a9a5acca35dd0c2cb3236bede6f62215dc2817ef3960edfd424ed,unknown,ext_000028,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/2114.png,2114.png,.png,unknown,2576,1934,RGB,True,a33b71a559beb9ac02025eb41930b35421c90caafeec1356f4af987a53d04ee1,unknown,ext_000029,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/837.png,837.png,.png,unknown,1284,964,RGB,True,73078ed18db5afec54229a50dfbc52375da9c3c79ddad92f178cce48753d30c1,unknown,ext_000030,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/77.png,77.png,.png,unknown,2576,1934,RGB,True,6722697e4db067e70086796fa9a88a0f2a18fdc587f6c86abeafd9ec249bb726,unknown,ext_000031,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/823.png,823.png,.png,unknown,1924,1556,RGB,True,66eec18edb02bc256dbe378e84d5aacef5cfa2d1c218e38e073af67a67948979,unknown,ext_000032,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/63.png,63.png,.png,unknown,2576,1934,RGB,True,3267ec41db1b648e91e4c900f7e6bc9548354b602382f1bae11ddeafa470ed58,unknown,ext_000033,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/2100.png,2100.png,.png,unknown,1924,1556,RGB,True,dc6c22e10f0bf6fbf053eb7d7fe2a23a3b1be609a90493b21d653553e59e57f1,unknown,ext_000034,ssl_train
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/1409.png,1409.png,.png,unknown,1284,964,RGB,True,9cb121c1b2ad8a367ae4a4a0499b732e825905eb6f5842329cb702817d9cc608,unknown,ext_000035,ssl_val
SLID,Original_Slit-lamp_Images,/home/kratospidey/Repos/corneal_ulcer_classification/External Datasets/SLID/Original_Slit-lamp_Images/Original_Slit-lamp_Images/2128.png,2128.png,.png,unknown,1924,1556,RGB,True,68878ff0a027189e651d336f8f74ebd657db8f66e9666ba291e7cfee5033d7c3,unknown,ext_000036,ssl_train
