image_id,split
1,train
2,test
3,train
4,train
5,test
6,train
7,train
8,test
9,train
10,train
11,val
12,train
13,train
14,train
15,train
16,train
17,train
18,train
19,train
20,train
21,train
22,train
23,train
24,train
25,train
26,train
27,train
28,train
29,train
30,val
31,train
32,train
33,train
34,train
35,train
36,test
37,train
38,train
39,val
40,val
41,train
42,train
43,train
44,train
45,train
46,train
47,test
48,train
49,test
50,train
51,train
52,train
53,train
54,val
55,train
56,train
57,train
58,train
59,val
60,train
61,test
62,test
63,train
64,val
65,val
66,val
67,train
68,train
69,train
70,val
71,train
72,train
73,train
74,train
75,train
76,val
77,train
78,train
79,train
80,test
81,train
82,train
83,train
84,train
85,train
86,train
87,train
88,train
89,train
90,train
91,test
92,train
93,train
94,train
95,train
96,train
97,train
98,train
99,train
100,val
101,train
102,train
103,train
104,train
105,train
106,train
107,train
108,train
109,train
110,train
111,train
112,train
113,train
114,train
115,val
116,train
117,train
118,train
119,val
120,train
121,train
122,train
123,test
124,train
125,train
126,train
127,train
128,train
129,train
130,test
131,train
132,train
133,train
134,train
135,train
136,train
137,train
138,val
139,val
140,train
141,train
142,train
143,train
144,train
145,train
146,val
147,test
148,train
149,val
150,train
151,train
152,val
153,train
154,test
155,train
156,test
157,train
158,train
159,test
160,train
161,train
162,train
163,train
164,train
165,train
166,val
167,train
168,train
169,train
170,train
171,train
172,train
173,train
174,train
175,train
176,train
177,test
178,train
179,train
180,train
181,train
182,train
183,train
184,train
185,train
186,train
187,train
188,train
189,train
190,train
191,train
192,train
193,train
194,train
195,train
196,train
197,train
198,train
199,train
200,train
201,train
202,train
203,train
204,train
205,val
206,train
207,train
208,val
209,train
210,val
211,train
212,train
213,train
214,train
215,train
216,test
217,train
218,test
219,train
220,val
221,train
222,test
223,train
224,train
225,train
226,train
227,train
228,train
229,train
230,train
231,train
232,train
233,train
234,test
235,train
236,val
237,train
238,train
239,train
240,train
241,test
242,val
243,train
244,train
245,train
246,train
247,train
248,train
249,train
250,train
251,train
252,train
253,train
254,train
255,train
256,val
257,train
258,train
259,train
260,train
261,val
262,train
263,test
264,test
265,train
266,train
267,train
268,train
269,train
270,train
271,train
272,train
273,train
274,train
275,test
276,train
277,train
278,train
279,test
280,train
281,train
282,test
283,train
284,train
285,train
286,train
287,train
288,train
289,train
290,train
291,train
292,train
293,train
294,train
295,train
296,train
297,train
298,test
299,train
300,train
301,train
302,val
303,test
304,train
305,test
306,val
307,train
308,train
309,train
310,val
311,test
312,train
313,train
314,train
315,val
316,train
317,train
318,train
319,train
320,train
321,train
322,train
323,train
324,test
325,test
326,train
327,train
328,train
329,train
330,train
331,test
332,test
333,train
334,train
335,train
336,train
337,train
338,train
339,train
340,train
341,train
342,train
343,train
344,train
345,train
346,val
347,val
348,train
349,train
350,train
351,train
352,train
353,train
354,test
355,val
356,train
357,train
358,val
359,train
360,train
361,train
362,train
363,train
364,train
365,train
366,train
367,test
368,train
369,val
370,train
