image_id,image_path,readable,width,height,aspect_ratio,filesize_bytes,mode,mean_r,mean_g,mean_b,std_r,std_g,std_b,brightness,contrast,entropy,blur_proxy,mean_hue,mean_saturation,green_dominance,center_intensity,specular_highlight_ratio
1,data/raw/sustech_sysu/rawImages/1.jpg,True,2592,1728,1.5,367227,RGB,23.386416,70.529557,111.031163,26.124188,54.953839,74.253599,61.046037,44.772807,7.217992,51.455049,0.557142,0.810501,1.04941,70.349406,0.001013
2,data/raw/sustech_sysu/rawImages/2.jpg,True,2592,1728,1.5,354139,RGB,17.932726,52.690187,88.198705,20.306045,47.056331,68.672312,46.329666,38.310274,6.805017,55.647709,0.577638,0.799584,0.992923,65.079617,0.000729
3,data/raw/sustech_sysu/rawImages/3.jpg,True,2592,1728,1.5,255618,RGB,6.86912,28.59633,40.905736,11.919374,35.963406,58.311053,23.490539,29.52669,5.635572,29.708593,0.381397,0.542082,1.197129,42.719622,0.000523
4,data/raw/sustech_sysu/rawImages/4.jpg,True,2592,1728,1.5,376737,RGB,17.226974,61.849613,102.469011,17.494172,44.785051,66.050409,53.130117,35.678878,6.976269,60.80667,0.566324,0.85079,1.033445,57.228608,0.000532
5,data/raw/sustech_sysu/rawImages/5.jpg,True,2592,1728,1.5,373862,RGB,21.872364,77.178395,136.601254,28.691327,59.59914,69.389119,67.413707,46.904196,7.285252,56.021963,0.579265,0.872513,0.974022,78.418798,0.000847
6,data/raw/sustech_sysu/rawImages/6.jpg,True,2592,1728,1.5,392350,RGB,33.112676,81.54796,135.96004,34.420141,58.713901,63.741943,73.259902,47.000069,7.359359,56.685943,0.574168,0.808211,0.96465,76.049023,0.0014
7,data/raw/sustech_sysu/rawImages/7.jpg,True,2592,1728,1.5,404088,RGB,19.761162,75.2421,121.769277,23.674858,52.286828,66.951377,63.950822,41.531036,7.17113,66.393123,0.568492,0.869191,1.063264,69.493875,0.000789
8,data/raw/sustech_sysu/rawImages/8.jpg,True,2592,1728,1.5,387589,RGB,10.037181,69.10166,130.956243,17.860312,44.66112,65.069594,58.483155,35.64734,7.023732,74.483824,0.582252,0.931803,0.980211,61.837843,0.000641
9,data/raw/sustech_sysu/rawImages/9.jpg,True,2592,1728,1.5,342906,RGB,23.233523,52.482785,95.962856,30.36804,53.208797,66.955103,48.689127,44.023953,6.945348,41.852374,0.581493,0.806541,0.88061,34.511044,0.000557
10,data/raw/sustech_sysu/rawImages/10.jpg,True,2592,1728,1.5,359027,RGB,14.81498,70.070673,122.968702,22.031766,49.697981,70.344988,59.572691,38.632357,7.051346,46.427345,0.569178,0.902225,1.017111,53.023621,0.000627
11,data/raw/sustech_sysu/rawImages/11.jpg,True,2592,1728,1.5,359692,RGB,25.250258,66.673473,103.672476,28.48839,53.132928,73.995565,58.492934,44.203538,7.132511,53.750435,0.538822,0.773708,1.034317,72.013512,0.000614
12,data/raw/sustech_sysu/rawImages/12.jpg,True,2592,1728,1.5,256785,RGB,26.623701,64.536309,95.243804,39.528205,73.420631,96.583875,56.682234,63.927279,6.765203,19.592468,0.557831,0.695352,1.059123,113.125085,0.001065
13,data/raw/sustech_sysu/rawImages/13.jpg,True,2592,1728,1.5,205600,RGB,20.793781,45.189415,69.043392,36.811025,62.877304,80.280488,40.584816,54.0765,6.203167,20.939408,0.484298,0.622464,1.006029,86.124578,0.003459
14,data/raw/sustech_sysu/rawImages/14.jpg,True,2592,1728,1.5,270079,RGB,54.682431,89.218499,112.765076,61.016095,88.192013,104.090183,81.546048,79.612978,7.002499,23.775553,0.550137,0.540902,1.065629,149.326808,0.002269
15,data/raw/sustech_sysu/rawImages/15.jpg,True,2592,1728,1.5,357028,RGB,19.926826,66.550225,113.240653,24.834616,49.916487,67.882112,57.920034,39.978304,7.12434,48.22227,0.573489,0.853386,0.999497,56.695752,0.003238
16,data/raw/sustech_sysu/rawImages/16.jpg,True,2592,1728,1.5,383646,RGB,27.754557,75.513948,113.704793,25.595149,53.040011,73.114334,65.581677,42.231807,7.241092,63.409183,0.552468,0.810748,1.067642,55.067795,0.000919
17,data/raw/sustech_sysu/rawImages/17.jpg,True,2592,1728,1.5,342635,RGB,21.374373,53.004326,86.452313,25.81467,44.18943,65.632268,47.350775,36.226563,6.887967,43.745913,0.554574,0.789752,0.983139,49.6901,0.001121
18,data/raw/sustech_sysu/rawImages/18.jpg,True,2592,1728,1.5,347681,RGB,14.172539,48.472786,89.196629,16.618849,39.892797,60.719114,42.849363,31.710386,6.737442,45.89975,0.572567,0.835137,0.937858,47.197435,0.000356
